asa_code,regex,explanation
105052,"105052: HA:cipher in use (?<italic_text>.+) strong encryption is (?<status>\S+), please reboot to use strong cipher and preferably change the key in use$","When the failover key is configured prior to a license update, the weaker cipher is not switched to a stronger cipher automatically. This syslog is generated, every 30 seconds to alert that a weaker cipher is still being used when a stronger cipher is available. Example % ASA -3-105052 HA cipher in use DES strong encryption is AVAILABLE, please reboot to use strong cipher and preferably change the key in use."
105502,"105502: \(Primary\|Secondary\) Restarting Cloud HA on this unit, reason: (?<string>\S+)$",An error occurred and caused this HA unit to restart Cloud HA. Possible values for the reason string are:
105506,"105506: \(Primary\|Secondary\) Unable to create socket for port (?<port>\S+) for (?<ph_1_____ph_2>\S+), error: (?<error_string>.+?)$",An internal error occurred while attempting to create a socket needed for the failover connection or resonding to Azure load balancer probes.
105507,"105507: \(Primary\|Secondary\) Unable to bind socket for port (?<port>\S+) for (?<ph_1_____ph_2>\S+), error: (?<error_string>.+?)$",An internal error occurred while attempting to start a socket needed for the failover connection or resonding to Azure load balancer probes.
105509,"105509: \(Primary\|Secondary\) Error sending (?<message_name>\S+) message to peer unit (?<ip>(?:\[[^\]]+\]|(?:(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)\.){3}(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)|[0-9a-fA-F:.]+)), error: (?<error_string>.+?)$",An error occurred while attempting to send a failover control message to the peer unit.
105510,"105510: \(Primary\|Secondary\) Error receiving message from peer unit (?<ip>(?:\[[^\]]+\]|(?:(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)\.){3}(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)|[0-9a-fA-F:.]+)), error: (?<error_string>.+?)$",An error occurred while attempting to receive a failover control message to the peer unit.
105512,"105512: \(Primary\|Secondary\) Error receiving message body of message from peer unit (?<ip>(?:\[[^\]]+\]|(?:(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)\.){3}(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)|[0-9a-fA-F:.]+)), error: (?<error_string>.+?)$",An error occurred while attempting to receive a failover control message to the peer unit.
105514,"105514: \(Primary\|Secondary\) Error occurred when responding to (?<message_name>\S+) message received from peer unit (?<ip>(?:\[[^\]]+\]|(?:(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)\.){3}(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)|[0-9a-fA-F:.]+)), error: (?<error_string>.+?)$",An error occurred while attempting to receive a failover control message to the peer unit.
105515,"105515: \(Primary\|Secondary\) Error receiving (?<message_name>\S+) message from peer unit (?<ip>(?:\[[^\]]+\]|(?:(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)\.){3}(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)|[0-9a-fA-F:.]+)), error: (?<error_string>.+?)$",An error occurred while attempting to receive a failover control message to the peer unit.
105517,"105517: \(Primary\|Secondary\) Error receiving message body of (?<message_name>\S+) message from peer unit (?<ip>(?:\[[^\]]+\]|(?:(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)\.){3}(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)|[0-9a-fA-F:.]+)), error: (?<error_string>.+?)$",An error occurred while attempting to receive a failover control message to the peer unit.
105519,"105519: \(Primary\|Secondary\) Invalid response to (?<message_name>\S+) message received from peer unit (?<ip>(?:\[[^\]]+\]|(?:(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)\.){3}(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)|[0-9a-fA-F:.]+)): type (?<message_type>\S+), version (?<message_version>\S+), length (?<message_length>\S+)$",An unexpected message was received in response to a failover control message.
105541,"105541: \(Primary\|Secondary\) Failed to update route\-table (?<route_table_name>\S+), provisioning state: (?<state_string>.+)$",A response to an Azure route-table state request was received that contained a provisioningState that indicated a failure to update the route-table.
105545,"105545: \(Primary\|Secondary\) Error starting load balancer probe socket for port (?<port>\S+), error code: (?<error_code>\S+)$",An internal error occurred while attempting to start receiving probes from an Azure Load Balancer. The Active unit will continue to attempt to enable the receiving of probes.
106012,"106012:\s*(?<action>\S+)\s+IP\s+from\s+(?:(?<src_ip>(?:[\d+.]+,[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*)),(?<src_host>\S+))\s+to\s+(?:(?<dest_ip>(?:[\d+.]+,[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*)),(?<dest_host>\S+))\s*,\s*IP\s+options\s*\:?\s+(?:hex\.?,['""](?<ip_options>[^""]+)['""])","An IP packet was seen with IP options. Because IP options are considered a security risk, the packet was discarded."
106014,"106014: (?<action>\w+) (?<direction>\S+) (?<transport>\S+) src (?<src_interface>[^:]+):(?<src_ip>[0-9.]+)(?:\((?<src_host>[^)]+)\))? (?<data>.*)?dst (?<dest_interface>[^:]+):(?<dest_ip>[0-9.]+)(?:\((?<dest_host>[^)]+)\))?(?:\s*\(type\s+(?<icmp_type>\d+),\s+code\s+(?<icmp_code>\d+)\))?","The Secure Firewall ASA denied any inbound ICMP packet access. By default, all ICMP packets are denied access unless specifically allowed."
106020,"106020: Deny IP teardrop fragment \(size = (?<size>\d+), offset = (?<offset>\d+)\) from (?<src_ip>[0-9.]+) to (?<dest_ip>[0-9.]+)",The Secure Firewall ASA discarded an IP packet with a teardrop signature containing either a small offset or fragment overlapping. This is a hostile event that circumvents the Secure Firewall ASA or an Intrusion Detection System.
106023,"106023:\s*(?<action>\S+)\s+(?<transport>\S+)(?:\s+(?<protocol_id>\d+))?\s+src\s+(?<src_interface>[^:\s]+):(?<src_ip>\S+)\s+dst\s+(?<dest_interface>[^:\s]+):(?<dest_ip>\S+)(?:\s*\(type\s+(?<icmp_type>\d+),\s+code\s+(?<icmp_code>\d+)\))?\s+by\s+access-group\s+""(?<access_group>[^""]+)""\s+\[(?<hash_codes>[^\]]+)\]","A real IP packet was denied by the ACL. This message appears even if you do not have the log option enabled for an ACL. The IP address is the real IP address instead of the values that display through NAT. Both user identity information and FQDN information is provided for the IP addresses if a matched one is found. The Secure Firewall ASA logs either identity information (domain\user) or FQDN (if the username is not available). If the identity information or FQDN is available, the Secure Firewall ASA logs this information for both the source and destination."
106027,"106027:\s*(?<action>\S+)\s+(?<transport>\S+)\s+src\s+(?<src_interface>[^:\s]+):(?<src_mac>\S+)\s+dst\s+(?<dest_interface>[^:\s]+):(?<dest_mac>\S+)\s+by\s+access-group\s+""(?<access_group>[^""]+)""",An non IP packet was denied by the ACL. This message is displayed even if you do not have the log option enabled for an extended ACL.
